"No.","Time","Source","Destination","Protocol","Length","SAC, System Area Code","SIC, System Identification Code","Service Identification","LAT, Latitude, [\302\260]","LON, Longitude, [\302\260]","Target Address","Time of Message Reception for Position, [s]","Geometric Height, [ft]","NUCRNACV, Navigation Uncertainty Category for Velocity NUCr or the Navigation Accuracy Category for Velocity NACv","NUCPNIC, Navigation Uncertainty Category for Position NUCp or Navigation Integrity Category NIC","NICBARO, Navigation Integrity Category for Barometric Altitude","SIL, Surveillance (version 1) or Source (version 2) Integrity Level","NACP, Navigation Accuracy Category for Position","SILS, SIL-Supplement","SDA, Horizontal Position System Design Assurance Level (as Defined in Version 2)","GVA, Geometric Altitude Accuracy","PIC, Position Integrity Category","SRC, Source of the PIC","VN, Version Number","LTT, Link Technology Type","MODE3A, Mode-3/A Reply in Octal Representation","Flight Level, [FL]","BVR, Barometric Vertical Rate, [ft/min]","Target Identification","GS, Ground Speed Referenced to WGS-84, [NM/s]","TA, Track Angle Clockwise Reference to True North, [\302\260]","Emitter Category","ALT, Altitude, [ft]","Message Amplitude, [dBm]","Info"
"890","2025-10-15 05:29:51.043425Z","10.41.201.3","224.41.192.32","ASTERIX","119","0x84","0x33","0x0a","7.317259311676025","102.21314907073975","0x8a091f","19235.3359375","36225","1","8","1","3","9","Measured per flight-hour","3","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","3667","340.25","0","BTK7631 ","0.12646484375","354.19921875","75000 lbs < medium a/c < 300000 lbs","34025","-80",""
"891","2025-10-15 05:29:51.110172Z","10.41.201.3","224.41.192.32","ASTERIX","120","0x84","0x33","0x0a","9.280786514282227","100.71083307266235","0x7020b2","19235.3984375","39325","1","0","1","3","0","Measured per flight-hour","2","1","","","ED102A/DO-260B [Ref. 10]","1090 ES","2509","370","-62.5","UBG315  ","0.12896728515625","152.8253173828125","75000 lbs < medium a/c < 300000 lbs","37000","-81",""
"892","2025-10-15 05:29:51.127363Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","10.12066125869751","101.32917881011963","0x899115","19235.4140625","38300","2","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","1428","360","0","CAL731  ","0.13427734375","243.3306884765625","75000 lbs < medium a/c < 300000 lbs","36000","-80",""
"893","2025-10-15 05:29:51.253124Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","7.977125644683838","101.58218622207642","0x76b863","19235.5390625","35175","4","8","1","3","9","Measured per flight-hour","3","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","3168","330","0","TGW625  ","0.13385009765625","167.288818359375","75000 lbs < medium a/c < 300000 lbs","33000","-75",""
"894","2025-10-15 05:29:51.539751Z","10.41.201.3","224.41.192.32","ASTERIX","120","0x84","0x33","0x0a","7.343566417694092","100.99456787109375","0x8855ed","19235.828125","5275","2","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","498","51.75","-62.5","HSUOM   ","0.03985595703125","67.9010009765625","Rotocraft","5025","-73",""
"895","2025-10-15 05:29:51.555214Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","9.229073524475098","101.43075942993164","0x8830e9","19235.84375","37275","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","350","","TLM268  ","0.12969970703125","180.4888916015625","No ADS-B Emitter Category Information","","-82",""
"896","2025-10-15 05:29:51.741408Z","10.41.201.3","224.41.192.32","ASTERIX","118","0x84","0x33","0x0a","10.625174045562744","101.60261392593384","0x880852","19236.03125","36150","2","8","1","2","8","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","DO-260A [Ref. 8]","1090 ES","1170","340","","AIQ513  ","0.12396240234375","346.5252685546875","75000 lbs < medium a/c < 300000 lbs","34000","-86",""
"897","2025-10-15 05:29:51.803010Z","10.41.201.3","224.41.192.32","ASTERIX","99","0x84","0x33","0x0a","6.935720443725586","100.3936243057251","0x880c4c","19236.0859375","","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","","","AIQ308  ","","","No ADS-B Emitter Category Information","","-38",""
"898","2025-10-15 05:29:51.974730Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","5.385403633117676","102.7754259109497","0x780457","19236.2578125","36200","1","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","1198","340","0","CES5082 ","0.12530517578125","329.3426513671875","75000 lbs < medium a/c < 300000 lbs","34025","-84",""
"899","2025-10-15 05:29:52.159696Z","10.41.201.3","224.41.192.32","ASTERIX","119","0x84","0x33","0x0a","7.8820037841796875","100.34847736358643","0x704009","19236.4375","38175","1","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","1123","359.75","62.5","MMA502  ","0.124755859375","1.2744140625","75000 lbs < medium a/c < 300000 lbs","36000","-71",""
"900","2025-10-15 05:29:52.216212Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","8.772110939025879","100.84251880645752","0x76b448","19236.5078125","39300","2","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","3853","370","0","SIA761  ","0.127685546875","153.9349365234375","75000 lbs < medium a/c < 300000 lbs","37000","-79",""
"901","2025-10-15 05:29:52.503979Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","6.771976947784424","102.2486400604248","0x8832ba","19236.796875","40400","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","380","","TLM101  ","0.12420654296875","354.4793701171875","No ADS-B Emitter Category Information","","-81",""
"902","2025-10-15 05:29:52.642675Z","10.41.201.3","224.41.192.32","ASTERIX","120","0x84","0x33","0x0a","5.023219585418701","102.89882898330688","0x76d106","19236.9296875","36200","4","8","1","3","9","Measured per flight-hour","2","1","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","88","340","0","TGW632  ","0.1256103515625","332.75390625","75000 lbs < medium a/c < 300000 lbs","34025","-87",""
"903","2025-10-15 05:29:52.793684Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","9.766523838043213","100.60961723327637","0x7502b0","19237.078125","37225","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","350","","MAS785  ","0.1334228515625","182.2686767578125","No ADS-B Emitter Category Information","","-80",""
"904","2025-10-15 05:29:52.891125Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","4.785833358764648","100.01287937164307","0x8a0817","19237.1796875","12475","1","8","1","3","8","Measured per flight-hour","2","1","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","3556","119.25","-1025","LNI138  ","0.09149169921875","39.825439453125","75000 lbs < medium a/c < 300000 lbs","5000","-83",""
"905","2025-10-15 05:29:53.027169Z","10.41.201.3","224.41.192.32","ASTERIX","110","0x84","0x33","0x0a","10.189218521118164","101.85899019241333","0x8a021d","19237.3125","40400","0","7","0","0","0","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","ED102/DO-260 [Ref. 7]","1090 ES","","380","","GIA866  ","0.124755859375","341.56494140625","No ADS-B Emitter Category Information","","-87",""
"906","2025-10-15 05:29:53.047682Z","10.41.201.3","224.41.192.32","ASTERIX","119","0x84","0x33","0x0a","7.713046073913574","98.7379503250122","0x8015c1","19237.3359375","36175","1","8","1","3","9","Measured per flight-hour","3","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","2128","340","62.5","AIC2146 ","0.12872314453125","312.989501953125","75000 lbs < medium a/c < 300000 lbs","34025","-75",""
"907","2025-10-15 05:29:53.274324Z","10.41.201.3","224.41.192.32","ASTERIX","118","0x84","0x33","0x0a","8.566117286682129","100.62491655349731","0x8880e8","19237.5625","33000","2","8","1","2","8","Measured per flight-hour","0","0","11","PIC mapped from FTC and NIC Supplements","DO-260A [Ref. 8]","1090 ES","510","310","","VJC808  ","0.121337890625","29.0313720703125","75000 lbs < medium a/c < 300000 lbs","31000","-82",""
"908","2025-10-15 05:29:53.274553Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","6.352415084838867","99.74180459976196","0x76b44b","19237.5625","32025","2","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","3190","300.75","1218.75","SIA727  ","0.1348876953125","148.73291015625","75000 lbs < medium a/c < 300000 lbs","37000","-72",""
"909","2025-10-15 05:29:53.389658Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","5.026395320892334","102.91565179824829","0x88510e","19237.6796875","40375","2","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","1213","380","0","THA404  ","0.13543701171875","332.1221923828125","300000 lbs <= heavy aircraft","38025","-87",""
"910","2025-10-15 05:29:53.558670Z","10.41.201.3","224.41.192.32","ASTERIX","121","0x84","0x33","0x0a","6.797425746917725","102.12663173675537","0x50038e","19237.84375","45400","1","8","1","3","9","Measured per flight-hour","2","2","11","PIC mapped from FTC and NIC Supplements","ED102A/DO-260B [Ref. 10]","1090 ES","1319","430","","T7NEX   ","0.1319580078125","343.740234375","75000 lbs < medium a/c < 300000 lbs","43000","-74",""
